Participant_ID,Focus,Agent,Goal_Type,Item,Item_string,Item_len,Response_tag,Response,Response_Full,EXP,n,Age,Gender,Kno_Level,Per_Level,Bilingual,Bi_Parents,Multi_Kno,Multi_Spk,Immersion,Prof_Need,Prof_Use,Motivation,Distractor,GN_Score,Difficulty,Kno_Level_Label,Per_Level_Label,Prof_Need_Label,Prof_Use_Label,Consequent_Reversibility
EXP1_01,I,1,no_goal,Item1,"""If I had heard the rainstorm, I would have felt relaxed""",11,L1_transfer_3,L1_transfer,L1_transfer,1,1,25,0,6,7,0,1,0,1,0,1,1,4,4,23,3,B2.1,B2.2,Yes,Yes,Yes
EXP1_01,I,1,no_goal,Item2,"""If I had climbed the mountain cliff, I would have felt invincible"" ",12,L1_transfer_3,L1_transfer,L1_transfer,1,1,25,0,6,7,0,1,0,1,0,1,1,4,4,23,3,B2.1,B2.2,Yes,Yes,Yes
EXP1_01,I,1,goal_non_frequent,Item1,"""If I had created an online platform, I would have saved my family's business""",14,L1_transfer_3,L1_transfer,L1_transfer,1,1,25,0,6,7,0,1,0,1,0,1,1,4,4,23,3,B2.1,B2.2,Yes,Yes,No
EXP1_01,I,1,goal_non_frequent,Item2,"""If I had invested in technology, I would have secured my family's wealth""",13,correct_3,correct,correct,1,1,25,0,6,7,0,1,0,1,0,1,1,4,4,23,3,B2.1,B2.2,Yes,Yes,No
EXP1_01,I,1,goal_frequent,Item1,"""If I had saved money, I would have gone on holidays""",11,correct_3,correct,correct,1,1,25,0,6,7,0,1,0,1,0,1,1,4,4,23,3,B2.1,B2.2,Yes,Yes,Yes
EXP1_01,I,1,goal_frequent,Item2,"""If I had practiced sports, I would have lost weight""",10,L1_transfer_3,L1_transfer,L1_transfer,1,1,25,0,6,7,0,1,0,1,0,1,1,4,4,23,3,B2.1,B2.2,Yes,Yes,Yes
EXP1_05,I,1,no_goal,Item1,"""If I had heard the rainstorm, I would have felt relaxed""",11,L1_transfer_3,L1_transfer,L1_transfer,1,5,53,1,7,8,0,0,1,1,1,1,1,4,6,35,1,B2.2,C1,Yes,Yes,Yes
EXP1_05,I,1,no_goal,Item2,"""If I had climbed the mountain cliff, I would have felt invincible"" ",12,L1_transfer_3,L1_transfer,L1_transfer,1,5,53,1,7,8,0,0,1,1,1,1,1,4,6,35,1,B2.2,C1,Yes,Yes,Yes
EXP1_05,I,1,goal_non_frequent,Item1,"""If I had created an online platform, I would have saved my family's business""",14,L1_transfer_3,L1_transfer,L1_transfer,1,5,53,1,7,8,0,0,1,1,1,1,1,4,6,35,1,B2.2,C1,Yes,Yes,No
EXP1_05,I,1,goal_non_frequent,Item2,"""If I had invested in technology, I would have secured my family's wealth""",13,L1_transfer_3,L1_transfer,L1_transfer,1,5,53,1,7,8,0,0,1,1,1,1,1,4,6,35,1,B2.2,C1,Yes,Yes,No
