Partcipant_ID,Focus,Agent,Goal_Type,Item,Item_string,Item_len,Response_tag,Response
EXP1_01,I,1,no_goal,Item1,"""If I had heard the rainstorm, I would have felt relaxed""",11,L1_transfer_3,L1_transfer
EXP1_01,I,1,no_goal,Item2,"""If I had climbed the mountain cliff, I would have felt invincible"" ",12,L1_transfer_3,L1_transfer
EXP1_01,I,1,goal_non_frequent,Item1,"""If I had created an online platform, I would have saved my family's business""",14,L1_transfer_3,L1_transfer
EXP1_01,I,1,goal_non_frequent,Item2,"""If I had invested in technology, I would have secured my family's wealth""",13,correct_3,correct
EXP1_01,I,1,goal_frequent,Item1,"""If I had saved money, I would have gone on holidays""",11,correct_3,correct
EXP1_01,I,1,goal_frequent,Item2,"""If I had practiced sports, I would have lost weight""",10,L1_transfer_3,L1_transfer
EXP1_02,I,1,no_goal,Item1,"""If I had heard the rainstorm, I would have felt relaxed""",11,L2_other_3,L2_other
EXP1_02,I,1,no_goal,Item2,"""If I had climbed the mountain cliff, I would have felt invincible"" ",12,correct_3,correct
EXP1_02,I,1,goal_non_frequent,Item1,"""If I had created an online platform, I would have saved my family's business""",14,correct_3,correct
EXP1_02,I,1,goal_non_frequent,Item2,"""If I had invested in technology, I would have secured my family's wealth""",13,correct_3,correct
EXP1_02,I,1,goal_frequent,Item1,"""If I had saved money, I would have gone on holidays""",11,correct_3,correct
EXP1_02,I,1,goal_frequent,Item2,"""If I had practiced sports, I would have lost weight""",10,correct_3,correct
EXP1_03,I,1,no_goal,Item1,"""If I had heard the rainstorm, I would have felt relaxed""",11,L2_other_3,L2_other
EXP1_03,I,1,no_goal,Item2,"""If I had climbed the mountain cliff, I would have felt invincible"" ",12,correct_3,correct
EXP1_03,I,1,goal_non_frequent,Item1,"""If I had created an online platform, I would have saved my family's business""",14,correct_3,correct
EXP1_03,I,1,goal_non_frequent,Item2,"""If I had invested in technology, I would have secured my family's wealth""",13,correct_3,correct
EXP1_03,I,1,goal_frequent,Item1,"""If I had saved money, I would have gone on holidays""",11,correct_3,correct
EXP1_03,I,1,goal_frequent,Item2,"""If I had practiced sports, I would have lost weight""",10,correct_3,correct
EXP1_04,I,1,no_goal,Item1,"""If I had heard the rainstorm, I would have felt relaxed""",11,null,null
EXP1_04,I,1,no_goal,Item2,"""If I had climbed the mountain cliff, I would have felt invincible"" ",12,correct_3,correct
EXP1_04,I,1,goal_non_frequent,Item1,"""If I had created an online platform, I would have saved my family's business""",14,null,null
EXP1_04,I,1,goal_non_frequent,Item2,"""If I had invested in technology, I would have secured my family's wealth""",13,correct_3,correct
EXP1_04,I,1,goal_frequent,Item1,"""If I had saved money, I would have gone on holidays""",11,L2_other_3,L2_other
EXP1_04,I,1,goal_frequent,Item2,"""If I had practiced sports, I would have lost weight""",10,correct_3,correct
EXP1_05,I,1,no_goal,Item1,"""If I had heard the rainstorm, I would have felt relaxed""",11,L1_transfer_3,L1_transfer
EXP1_05,I,1,no_goal,Item2,"""If I had climbed the mountain cliff, I would have felt invincible"" ",12,L1_transfer_3,L1_transfer
EXP1_05,I,1,goal_non_frequent,Item1,"""If I had created an online platform, I would have saved my family's business""",14,L1_transfer_3,L1_transfer
EXP1_05,I,1,goal_non_frequent,Item2,"""If I had invested in technology, I would have secured my family's wealth""",13,L1_transfer_3,L1_transfer
EXP1_05,I,1,goal_frequent,Item1,"""If I had saved money, I would have gone on holidays""",11,L1_transfer_3,L1_transfer
EXP1_05,I,1,goal_frequent,Item2,"""If I had practiced sports, I would have lost weight""",10,correct_3,correct
EXP1_06,I,1,no_goal,Item1,"""If I had heard the rainstorm, I would have felt relaxed""",11,L1_transfer_3,L1_transfer
EXP1_06,I,1,no_goal,Item2,"""If I had climbed the mountain cliff, I would have felt invincible"" ",12,L1_transfer_3,L1_transfer
EXP1_06,I,1,goal_non_frequent,Item1,"""If I had created an online platform, I would have saved my family's business""",14,L1_transfer_3,L1_transfer
EXP1_06,I,1,goal_non_frequent,Item2,"""If I had invested in technology, I would have secured my family's wealth""",13,L1_transfer_3,L1_transfer
